container.title,created,deposited,published.print,doi,indexed,issn,issue,issued,page,publisher,source,subject,title,type,url,short.container.title,language
Medical Entomology and Zoology,2016-08-17,2016-08-17,1998,10.7601/mez.49.158_3,2022-04-06,"0424-7086,2185-5609",2,1998,158,Japan Society of Medical Entomology and Zoology,Crossref,NA,Epidemiological Studies of Tsutsugamushi Disease in Kyoto Prefecture,journal-article,http://dx.doi.org/10.7601/mez.49.158_3,"Jap. J. Sanit. Zool.,Med. Entomol. Zool.,Jpn. J. Sanit. Zool.",en
Medical Entomology and Zoology,2016-08-17,2016-08-17,1998,10.7601/mez.49.158_2,2022-04-01,"0424-7086,2185-5609",2,1998,158,Japan Society of Medical Entomology and Zoology,Crossref,NA,Relationship between seasonal incidence of tsutsugamushi disease and the vector mite species,journal-article,http://dx.doi.org/10.7601/mez.49.158_2,"Jap. J. Sanit. Zool.,Med. Entomol. Zool.,Jpn. J. Sanit. Zool.",en
Medical Entomology and Zoology,2016-08-17,2016-08-17,1998,10.7601/mez.49.158_1,2022-04-03,"0424-7086,2185-5609",2,1998,158,Japan Society of Medical Entomology and Zoology,Crossref,NA,Location and ultrastructure of Borrelia burgdorferi SI-1 strain in experimentally infected Ixodes scapularis tick,journal-article,http://dx.doi.org/10.7601/mez.49.158_1,"Jap. J. Sanit. Zool.,Med. Entomol. Zool.,Jpn. J. Sanit. Zool.",en
Okajimas Folia Anatomica Japonica,2014-03-18,2014-03-18,1990,10.2535/ofaj1936.67.2-3_161,2022-03-30,0030-154X,2-3,1990,161-163,Department of Anatomy Keio University School of Medicine,Crossref,Anatomy,The Rhomboideus Capitis in Man-Correctly Named Rare Muscular Variation,journal-article,http://dx.doi.org/10.2535/ofaj1936.67.2-3_161,Okajimas Folia Anatomica Japonica,en
Medical Entomology and Zoology,2013-07-05,2021-05-20,2013,10.7601/mez.64.11,2022-04-02,"0424-7086,2185-5609",1,2013,11-15,Japan Society of Medical Entomology and Zoology,Crossref,NA,Transmission of Borrelia spp. via tick vector,journal-article,http://dx.doi.org/10.7601/mez.64.11,"Jap. J. Sanit. Zool.,Med. Entomol. Zool.,Jpn. J. Sanit. Zool.",en
Journal of Veterinary Medical Science,2006-06-07,2021-07-28,2006,10.1292/jvms.68.447,2022-10-05,"0916-7250,1347-7439",5,2006,447-452,Japanese Society of Veterinary Science,Crossref,General Veterinary,A Novel Gene Encoding a Thrombin Inhibitory Protein in a cDNA Library from Haemaphysalis longicornis Salivary Gland,journal-article,http://dx.doi.org/10.1292/jvms.68.447,"The Journal of Veterinary Medical Science,J. Vet. Med. Sci.",en
Archivum histologicum japonicum,2011-11-24,2021-04-30,1952,10.1679/aohc1950.3.279,2022-04-02,0004-0681,3,1952,279-287,International Society of Histology & Cytology,Crossref,"Histology,Anatomy",Histo- und ultrastruktometrische Untersuchungen über die Froschmuskeln,journal-article,http://dx.doi.org/10.1679/aohc1950.3.279,"Arch. Histol. Jap., Arch. Histol. Jpn",en
Japanese Journal of Nematology,2007-11-27,2021-05-20,2006,10.3725/jjn.36.75,2022-04-01,"0919-6765,1882-3408",2,2006,75-85,The Japanese Nematological Society,Crossref,General Medicine,Phylogenetic analyses of Japanese steinernematid nematodes and their associating Xenorhabdus bacteria,journal-article,http://dx.doi.org/10.3725/jjn.36.75,Jpn. J. Nematol.,NA
Japanese Journal of Nematology,2007-11-27,2021-05-20,2006,10.3725/jjn.36.11,2022-04-03,"0919-6765,1882-3408",1,2006,11-21,The Japanese Nematological Society,Crossref,General Medicine,Intraspecific variations and phylogenetic relationships of steinernematids isolated from Japan based on the sequences of the ITS region of the nuclear rRNA gene and the partial mitochondrial COI gene,journal-article,http://dx.doi.org/10.3725/jjn.36.11,Jpn. J. Nematol.,NA
Nematological Research,2011-07-25,2021-11-28,2010,10.3725/jjn.40.27,2022-05-16,"0919-6765,1882-3408",2,2010,27-40,The Japanese Nematological Society,Crossref,General Medicine,Influence of temperature on pathogenicity of some entomopathogenic nematode isolates (Steinernema spp.) from Japan screened for ability to control some noctuid moth larvae,journal-article,http://dx.doi.org/10.3725/jjn.40.27,"Japanese Journal of Nematology,Jpn. J. Nematol.,Nematological Research",NA
The Bulletin of the Japanese Bird Banding Association,2015-02-26,2015-12-11,1988,10.14491/jbba.ar024,2022-03-31,"0914-4307,2187-2481",2,1988,35-38,The Japanese Bird Banding Association,Crossref,General Medicine,"The Wintering records of Long-billed Ringed Plover &lt;i&gt;Charadrius placidus&lt;/i&gt; in Kanazawa city, Ishikawa Prefecture",journal-article,http://dx.doi.org/10.14491/jbba.ar024,Bull Jpn Bird Banding Assoc,en
Applied Entomology and Zoology,2009-12-16,2021-05-20,2009,10.1303/aez.2009.397,2022-04-03,"0003-6862,1347-605X",3,2009,397-402,Japanese Society of Applied Entomology & Zoology,Crossref,Insect Science,"Media for conidial production of the entomopathogenic fungus, Fusarium coccophilum (Anamorphic fungi: Phialosporae)",journal-article,http://dx.doi.org/10.1303/aez.2009.397,Appl. Entomol. Zool.,en
Chagyo Kenkyu Hokoku (Tea Research Journal),2011-11-14,2021-05-22,1974-06-20,10.5979/cha.1974.44,2022-04-02,0366-6190,41,1974-06-20,44-47,Japanese Society of Tea Science and Technology,Crossref,Ocean Engineering,Scarlet Fungus Disese found on Mulberry Scale (Pseudaulacaspis Pentagona Trag. and Tozz.) on Tea Plant in Nara Prefecture,journal-article,http://dx.doi.org/10.5979/cha.1974.44,Chagyo Kenkyu Hokoku (Tea Research Journal),en
Plant Biotechnology,2011-03-06,2021-05-20,2002,10.5511/plantbiotechnology.19.329,2022-06-28,"1347-6114,1342-4580",5,2002,329-334,Japanese Society for Plant Cell and Molecular Biology,Crossref,"Plant Science,Agronomy and Crop Science,Biotechnology",High Frequency of Polyploidization in Regenerated Plants of Kalanchoe blossfeldiana Cultivar 'Tetra Vulcan'.,journal-article,http://dx.doi.org/10.5511/plantbiotechnology.19.329,Plant Biotechnology,en
Ornithological Science,2023-01-26,2023-01-26,2023-01-26,10.2326/osj.22.97,2023-01-27,1347-0558,1,2023-01-26,NA,Ornithological Society of Japan,Crossref,Animal Science and Zoology,Rattling Call of Crested Honey Buzzard Pernis ptilorhynchus,journal-article,http://dx.doi.org/10.2326/osj.22.97,Ornithological Science,NA
CABI Compendium,2022-11-24,2022-11-24,2022-01-07,10.1079/cabicompendium.63412,2022-11-25,2958-3969,NA,2022-01-07,NA,CABI Publishing,Crossref,NA,Strix aluco,journal-article,http://dx.doi.org/10.1079/cabicompendium.63412,CABI Compendium,en
Ibis,2008-04-03,2021-07-07,NA,10.1111/j.1474-919x.1991.tb04569.x,2022-10-18,0019-1019,3,2008-04-03,271-276,Wiley,Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",The effect of social dominance on foraging by the Three-toed Woodpecker Picoides tridactylus,journal-article,http://dx.doi.org/10.1111/j.1474-919x.1991.tb04569.x,NA,en
Molecular Ecology Resources,2008-07-08,2021-07-06,2008-09,10.1111/j.1755-0998.2008.02209.x,2022-03-31,"1755-098X,1755-0998",5,2008-09,1152-1154,Wiley,Crossref,"Genetics,Ecology, Evolution, Behavior and Systematics,Biotechnology",Isolation and characterization of 17 polymorphic microsatellite loci for the three-toed woodpecker (<i>Picoides tridactylus</i>),journal-article,http://dx.doi.org/10.1111/j.1755-0998.2008.02209.x,NA,en
CABI Compendium,2022-11-24,2022-11-24,2022-01-07,10.1079/cabicompendium.93421,2022-11-25,2958-3969,NA,2022-01-07,NA,CABI Publishing,Crossref,NA,Aratinga nana,journal-article,http://dx.doi.org/10.1079/cabicompendium.93421,CABI Compendium,en
New Zealand Journal of Zoology,2020-11-09,2021-06-08,2021-04-03,10.1080/03014223.2020.1839515,2022-04-05,"0301-4223,1175-8821",2,2020-11-08,130-138,Informa UK Limited,Crossref,Animal Science and Zoology,The importance of niau (<i>Rhopalostylis baueri</i>) in the diet of the Tasman parakeet (<i>Cyanoramphus cookii</i>) in the Norfolk Island National Park,journal-article,http://dx.doi.org/10.1080/03014223.2020.1839515,New Zealand Journal of Zoology,en
CABI Compendium,2022-11-24,2022-11-24,2022-01-07,10.1079/cabicompendium.81854712,2022-11-25,2958-3969,NA,2022-01-07,NA,CABI Publishing,Crossref,NA,Cepphus grylle,journal-article,http://dx.doi.org/10.1079/cabicompendium.81854712,CABI Compendium,en
Evolution,2007-05-08,2023-02-14,2006-12,10.1111/j.0014-3820.2006.tb01895.x,2023-02-15,"0014-3820,1558-5646",12,2006-12,2633-2642,Wiley,Crossref,"General Agricultural and Biological Sciences,Genetics,Ecology, Evolution, Behavior and Systematics",HABITAT-SPECIFIC SENSORY-EXPLOITATIVE SIGNALS IN BIRDS: PROPENSITY OF DIPTERAN PREY TO CAUSE EVOLUTION OF PLUMAGE VARIATION IN FLUSH-PURSUIT INSECTIVORES,journal-article,http://dx.doi.org/10.1111/j.0014-3820.2006.tb01895.x,Evolution,en
CABI Compendium,2022-11-24,2022-11-24,2022-01-07,10.1079/cabicompendium.72238,2022-11-25,2958-3969,NA,2022-01-07,NA,CABI Publishing,Crossref,NA,Ortalis vetula,journal-article,http://dx.doi.org/10.1079/cabicompendium.72238,CABI Compendium,en
Journal of Field Ornithology,2010-09-08,2022-02-21,NA,10.1111/j.1557-9263.2010.00284.x,2023-02-07,0273-8570,3,2010-08-26,287-293,"Resilience Alliance, Inc.",Crossref,"Ecology, Evolution, Behavior and Systematics",Characteristics of nest cavities of Barrow's Goldeneyes in eastern Canada,journal-article,http://dx.doi.org/10.1111/j.1557-9263.2010.00284.x,NA,en
CABI Compendium,2022-11-24,2022-11-24,2022-01-07,10.1079/cabicompendium.63347,2022-11-25,2958-3969,NA,2022-01-07,NA,CABI Publishing,Crossref,NA,Streptopelia turtur,journal-article,http://dx.doi.org/10.1079/cabicompendium.63347,CABI Compendium,en
CABI Compendium,2022-11-24,2022-11-24,2022-01-07,10.1079/cabicompendium.72980,2022-11-25,2958-3969,NA,2022-01-07,NA,CABI Publishing,Crossref,NA,Neafrapus cassini,journal-article,http://dx.doi.org/10.1079/cabicompendium.72980,CABI Compendium,en
CABI Compendium,2022-11-25,2022-11-25,2022-01-07,10.1079/cabicompendium.71634,2022-11-25,2958-3969,NA,2022-01-07,NA,CABI Publishing,Crossref,NA,Paroreomyza flammea (Molokai creeper),journal-article,http://dx.doi.org/10.1079/cabicompendium.71634,CABI Compendium,en
The Auk,2012-09-14,2019-02-27,1996-01,10.2307/4088950,2022-04-28,"0004-8038,1938-4254",1,1996-01,224-228,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Relationship between Testis Size and Mating Systems in American Sparrows (Emberizinae),journal-article,http://dx.doi.org/10.2307/4088950,The Auk,NA
NA,2021-01-26,2021-12-15,NA,10.1101/2021.01.24.427984,2022-03-29,NA,NA,2021-01-26,NA,Cold Spring Harbor Laboratory,Crossref,NA,Long-term monitoring reveals topographical features and vegetation explain winter habitat use of an Arctic rodent,posted-content,http://dx.doi.org/10.1101/2021.01.24.427984,NA,NA
Waterbirds,2023-02-08,2023-02-08,2023-02-08,10.1675/063.045.0212,2023-02-09,1524-4695,2,2023-02-08,NA,Waterbird Society,Crossref,Animal Science and Zoology,Vocal Activity of Little Bittern (Ixobrychus m. minutus) during the Breeding Season,journal-article,http://dx.doi.org/10.1675/063.045.0212,Waterbirds,NA
Animal Welfare,2023-01-11,2023-01-11,2000-08,10.1017/s0962728600022776,2023-01-12,"0962-7286,2054-1538",3,2000-08,317-321,Cambridge University Press (CUP),Crossref,"General Veterinary,General Biochemistry, Genetics and Molecular Biology,Animal Science and Zoology",Post-Release Survival of Hand-Reared Tawny Owls <i>(Strix Aluco)</i>,journal-article,http://dx.doi.org/10.1017/s0962728600022776,Anim. welf.,en
Ibis,2021-03-04,2021-09-17,2021-10,10.1111/ibi.12947,2022-03-31,"0019-1019,1474-919X",4,2021-03-12,1437-1442,Wiley,Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics","Significance of plumage colour for winter survival in the Tawny Owl (
            <i>Strix aluco</i>
            ): revisiting the camouflage hypothesis",journal-article,http://dx.doi.org/10.1111/ibi.12947,Ibis,en
Science of The Total Environment,2022-11-28,2023-01-16,2023-02,10.1016/j.scitotenv.2022.160530,2023-01-17,0048-9697,NA,2023-02,160530,Elsevier BV,Crossref,"Pollution,Waste Management and Disposal,Environmental Chemistry,Environmental Engineering",The importance of population contextual data for large-scale biomonitoring using an apex predator: The Tawny Owl (Strix aluco),journal-article,http://dx.doi.org/10.1016/j.scitotenv.2022.160530,Science of The Total Environment,en
Diversity,2023-01-02,2023-01-02,NA,10.3390/d15010052,2023-01-03,1424-2818,1,2023-01-02,52,MDPI AG,Crossref,"Nature and Landscape Conservation,Agricultural and Biological Sciences (miscellaneous),Ecological Modeling,Ecology",Dormice (Gliridae) in the Diets of Predators in Europe: A Review Broadening Understanding of Dormouse Ecology,journal-article,http://dx.doi.org/10.3390/d15010052,Diversity,en
Biodiversity Data Journal,2023-01-20,2023-01-20,NA,10.3897/bdj.11.e98772,2023-01-21,"1314-2828,1314-2836",NA,2023-01-20,NA,Pensoft Publishers,Crossref,"Ecology,Ecology, Evolution, Behavior and Systematics","Mammals in Tawny Owl (Strix aluco) pellets from Kharkiv Region, Ukraine",journal-article,http://dx.doi.org/10.3897/bdj.11.e98772,BDJ,NA
NA,2023-01-22,2023-01-25,NA,10.1101/2023.01.20.524943,2023-01-25,NA,NA,2023-01-21,NA,Cold Spring Harbor Laboratory,Crossref,NA,Mitochondrial Genome Analysis and Phylogeny and Divergence Time Evaluation of the<i>Strix aluco</i>,posted-content,http://dx.doi.org/10.1101/2023.01.20.524943,NA,NA
Ibis,2008-04-03,2021-07-07,NA,10.1111/j.1474-919x.1978.tb06775.x,2022-10-18,0019-1019,2,2008-06-28,198-203,Wiley,Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",SEXUAL DIMORPHISM IN RELATION TO WINTER FORAGING AND TERRITORIAL BEHAVIOUR OF THE THREE-TOED WOODPECKER PICOIDES TRIDACTYLUS AND THREE DENDROCOPOS SPECIES,journal-article,http://dx.doi.org/10.1111/j.1474-919x.1978.tb06775.x,NA,en
Forest Ecology and Management,2004-12-16,2020-04-04,2005-02,10.1016/j.foreco.2004.10.054,2023-02-11,0378-1127,1-3,2005-02,1-14,Elsevier BV,Crossref,"Management, Monitoring, Policy and Law,Nature and Landscape Conservation,Forestry",Regulation of spruce bark beetles by woodpeckers—a literature review,journal-article,http://dx.doi.org/10.1016/j.foreco.2004.10.054,Forest Ecology and Management,en
Biological Conservation,2006-02-01,2019-04-16,2006-06,10.1016/j.biocon.2005.12.008,2023-02-11,0006-3207,1,2006-06,134-147,Elsevier BV,Crossref,"Nature and Landscape Conservation,Ecology, Evolution, Behavior and Systematics",Indicator species among resident forest birds – A cross-regional evaluation in northern Europe,journal-article,http://dx.doi.org/10.1016/j.biocon.2005.12.008,Biological Conservation,en
Conservation Biology,2009-09-24,2021-07-05,2001-02,10.1111/j.1523-1739.2001.99236.x,2023-02-11,"0888-8892,1523-1739",1,2001-02,208-217,Wiley,Crossref,"Nature and Landscape Conservation,Ecology,Ecology, Evolution, Behavior and Systematics",Woodpeckers as Indicators of Forest Bird Diversity,journal-article,http://dx.doi.org/10.1111/j.1523-1739.2001.99236.x,Conservation Biology,en
Silva Fennica,2014-10-01,2021-11-09,NA,10.14214/sf.563,2023-02-09,2242-4075,1,2002,NA,Finnish Society of Forest Science,Crossref,"Ecological Modeling,Forestry",Spatial ecology of the three-toed woodpecker in managed forest landscapes,journal-article,http://dx.doi.org/10.14214/sf.563,Silva Fenn.,NA
The Journal of Wildlife Management,2007-03-23,2018-04-17,2002-01,10.2307/3802888,2023-02-09,0022-541X,1,2002-01,222,JSTOR,Crossref,"Nature and Landscape Conservation,Ecology,Ecology, Evolution, Behavior and Systematics,Nature and Landscape Conservation,Ecology,Ecology, Evolution, Behavior and Systematics",Foraging Ecology and Use of Drumming Trees by Three-Toed Woodpeckers,journal-article,http://dx.doi.org/10.2307/3802888,The Journal of Wildlife Management,NA
Ecological Modelling,2006-03-30,2019-04-17,2006-07,10.1016/j.ecolmodel.2006.02.017,2023-02-07,0304-3800,1-2,2006-07,62-76,Elsevier BV,Crossref,Ecological Modeling,Habitat quality assessment using Weights-of-Evidence based GIS modelling: The case of Picoides tridactylus as species indicator of the biodiversity value of the Finnish forest,journal-article,http://dx.doi.org/10.1016/j.ecolmodel.2006.02.017,Ecological Modelling,en
Biological Conservation,2003-07-16,2019-02-07,2004-04,10.1016/s0006-3207(03)00203-9,2022-03-31,0006-3207,3,2004-04,333-341,Elsevier BV,Crossref,"Nature and Landscape Conservation,Ecology, Evolution, Behavior and Systematics",Habitat use of the three-toed woodpecker in central Europe during the breeding period,journal-article,http://dx.doi.org/10.1016/s0006-3207(03)00203-9,Biological Conservation,en
Journal of Wildlife Management,2005-09-28,2019-03-18,2004-07,10.2193/0022-541x(2004)068[0683:cdoaay]2.0.co;2,2023-01-13,"0022-541X,1937-2817",3,2004-07,683-693,Wiley,Crossref,"Nature and Landscape Conservation,Ecology,Ecology, Evolution, Behavior and Systematics,Nature and Landscape Conservation,Ecology,Ecology, Evolution, Behavior and Systematics",COMPARATIVE DIETS OF ADULT AND YOUNG THREE-TOED WOODPECKERS IN A EUROPEAN ALPINE FOREST COMMUNITY,journal-article,http://dx.doi.org/10.2193/0022-541x(2004)068[0683:cdoaay]2.0.co;2,Journal of Wildlife Management,en
The Auk,2006-07-12,2019-02-28,2004,10.1642/0004-8038(2004)121[0058:sboetw]2.0.co;2,2022-04-06,0004-8038,1,2004,58,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",SPACING BEHAVIOR OF EURASIAN THREE-TOED WOODPECKERS (PICOIDES TRIDACTYLUS) DURING THE BREEDING SEASON IN GERMANY,journal-article,http://dx.doi.org/10.1642/0004-8038(2004)121[0058:sboetw]2.0.co;2,Auk,en
Behaviour,2005-10-06,2021-09-14,2005,10.1163/156853905774405281,2022-05-21,"0005-7959,1568-539X",8,2005,1093-1114,Brill,Crossref,"Behavioral Neuroscience,Animal Science and Zoology",Monogamy with exceptions: Social and genetic mating system in a bird species with high paternal investment,journal-article,http://dx.doi.org/10.1163/156853905774405281,Behav,NA
Schweizerische Zeitschrift fur Forstwesen,2007-06-14,2020-09-01,2000-08-01,10.3188/szf.2000.0282,2022-06-22,"0036-7818,2235-1469",8,2000-08-01,282-289,Swiss Forestry Society,Crossref,Forestry,Le Pic tridactyle (Picoides tridactylus): un indicateur de la qualité écologique de l'écosystème forestier du Pays-d'Enhaut (Préalpes suisses) | The Three-Toed Woodpecker (Picoides tridactylus): An Indicator of Ecological Quality in the Forest Ecosystem of the Pays-d'Enhaut Region (Swiss Prealps),journal-article,http://dx.doi.org/10.3188/szf.2000.0282,NA,en
The Condor,2019-09-06,2021-01-18,2002-02-01,10.1093/condor/104.1.167,2022-12-17,"0010-5422,1938-5129",1,2002-02-01,167-170,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Holarctic Phylogeography and Species Limits of Three-Toed Woodpeckers,journal-article,http://dx.doi.org/10.1093/condor/104.1.167,NA,en
PLoS ONE,2009-11-17,2019-05-23,NA,10.1371/journal.pone.0007895,2023-01-17,1932-6203,11,2009-11-18,e7895,Public Library of Science (PLoS),Crossref,Multidisciplinary,"Extrapair Paternity and Maternity in the Three-Toed Woodpecker, Picoides tridactylus: Insights from Microsatellite-Based Parentage Analysis",journal-article,http://dx.doi.org/10.1371/journal.pone.0007895,PLoS ONE,en
Forest Ecology and Management,2002-10-11,2019-04-13,2002-07,10.1016/s0378-1127(01)00598-9,2023-01-14,0378-1127,1-3,2002-07,249-256,Elsevier BV,Crossref,"Management, Monitoring, Policy and Law,Nature and Landscape Conservation,Forestry",Area sensitivity and edge avoidance: the case of the Three-toed Woodpecker (Picoides tridactylus) in a managed forest,journal-article,http://dx.doi.org/10.1016/s0378-1127(01)00598-9,Forest Ecology and Management,en
The Auk,2019-09-06,2019-09-06,2006-01-01,10.1093/auk/123.1.235,2022-10-18,"1938-4254,0004-8038",1,2006-01-01,235-246,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Foraging Behavior of Eurasian Three-Toed Woodpeckers (Picoides Tridactylus Alpinus) in Relation to Sex and Season in Germany,journal-article,http://dx.doi.org/10.1093/auk/123.1.235,NA,en
Ornis Svecica,2021-09-10,2021-09-10,NA,10.34080/os.v6.22986,2022-04-05,"2003-2633,1102-6812",3,1996-07-01,107-119,Ornis Svecica,Crossref,Animal Science and Zoology,Förekomst av tretåig hackspett Picoides tridactylus på bestånds- och landskapsnivå,journal-article,http://dx.doi.org/10.34080/os.v6.22986,Ornis Svec,NA
Caribbean Journal of Science,2016-01-04,2017-06-23,2010-01,10.18475/cjos.v46i2.a2,2022-04-03,0008-6452,2-3,2010-01,143-149,University of Puerto Rico at Mayaguez,Crossref,Multidisciplinary,The origins of the recently discovered Hispaniolan Olive-throated Parakeet: A phylogeographic perspective on a conservation conundrum,journal-article,http://dx.doi.org/10.18475/cjos.v46i2.a2,Caribbean Journal of Science,en
CABI Compendium,2022-11-25,2022-11-25,2022-01-07,10.1079/cabicompendium.71648,2022-11-25,2958-3969,NA,2022-01-07,NA,CABI Publishing,Crossref,NA,Parus ater,journal-article,http://dx.doi.org/10.1079/cabicompendium.71648,CABI Compendium,en
NA,2023-02-10,2023-02-10,NA,10.58809/ewez4182,2023-02-11,NA,NA,NA,NA,Fort Hays State University,Crossref,NA,Assessment of West Nile Virus Prevalence Using Rt-Pcr in Resident and Migratory Birds of Western Kansas,dissertation,http://dx.doi.org/10.58809/ewez4182,NA,NA
Ornitología Neotropical,2023-02-09,2023-02-09,NA,10.58843/ornneo.v32i2.751,2023-02-10,"1075-4377,1075-4377",2,2022-01-06,179-187,Neotropical Ornithological Society,Crossref,NA,"CONTRIBUTION OF INFORMAL GREENSPACE TO BIRD CONSERVATION IN CITIES: A COMPARATIVE STUDY ON THE DIVERSITY OF BIRD COMMUNITIES IN VACANT LANDS, URBAN PARKS AND RESIDENTIAL AREAS",journal-article,http://dx.doi.org/10.58843/ornneo.v32i2.751,Ornitol. Neotrop.,NA
CABI Compendium,2022-11-24,2022-11-24,2022-01-07,10.1079/cabicompendium.82297,2022-11-25,2958-3969,NA,2022-01-07,NA,CABI Publishing,Crossref,NA,Geothlypis trichas,journal-article,http://dx.doi.org/10.1079/cabicompendium.82297,CABI Compendium,en
CABI Compendium,2022-11-24,2022-11-24,2022-01-07,10.1079/cabicompendium.76719,2022-11-25,2958-3969,NA,2022-01-07,NA,CABI Publishing,Crossref,NA,Loxioides bailleui (palila),journal-article,http://dx.doi.org/10.1079/cabicompendium.76719,CABI Compendium,en
Revista Árvore,2014-08-16,2022-04-14,2014-06,10.1590/s0100-67622014000300005,2022-04-14,0100-6762,3,2014-06,433-442,FapUNIFESP (SciELO),Crossref,Forestry,"Frugivoria por aves em área de cerrado no município de Uberlândia, Minas Gerais",journal-article,http://dx.doi.org/10.1590/s0100-67622014000300005,Rev. Árvore,NA
Functional Ecology,2003-03-11,2020-10-14,1998-06,10.1046/j.1365-2435.1998.00212.x,2023-02-01,0269-8463,3,1998-06,459-464,Wiley,Crossref,"Ecology, Evolution, Behavior and Systematics","Effect of nectar-robbing birds on fruit set of <i>Fuchsia magellanica</i>
 in Tierra Del Fuego: a disrupted mutualism",journal-article,http://dx.doi.org/10.1046/j.1365-2435.1998.00212.x,NA,en
NA,2016-06-05,2022-07-01,NA,10.1101/057109,2022-07-01,NA,NA,2016-06-04,NA,Cold Spring Harbor Laboratory,Crossref,NA,High selfing capability and low pollinator visitation in the epiphyte<i>Pitcairnia heterophylla</i>(Bromeliaceae) at a Costa Rican cloud forest,posted-content,http://dx.doi.org/10.1101/057109,NA,NA
Chinese Birds,2013-04-15,2013-04-15,2013-03-20,10.5122/cbirds.2013.0008,2023-01-03,1674-7674,1,2013-03-20,71-85,Chinese Birds (Press),Crossref,"Plant Science,Forestry","Patterns of host use by a precocial obligate brood parasite, the Black-headed Duck: ecological and evolutionary considerations",journal-article,http://dx.doi.org/10.5122/cbirds.2013.0008,Chinese Birds,NA
Waterbirds,2007-11-12,2011-03-01,2007-09,10.1675/1524-4695(2007)030[0412:ldaaco]2.0.co;2,2022-04-02,"1524-4695,1938-5390",3,2007-09,412-416,Waterbird Society,Crossref,Animal Science and Zoology,"Local Distribution, Abundance and Conservation of Black-Headed Duck in the Mediterranean Wetlands of Chile",journal-article,http://dx.doi.org/10.1675/1524-4695(2007)030[0412:ldaaco]2.0.co;2,Waterbirds,en
Journal of Experimental Biology,2009-01-30,2021-04-25,2009-02-15,10.1242/jeb.025262,2022-03-30,"1477-9145,0022-0949",4,2009-02-15,483-493,The Company of Biologists,Crossref,"Insect Science,Molecular Biology,Animal Science and Zoology,Aquatic Science,Physiology,Ecology, Evolution, Behavior and Systematics",Physiological variation in amethyst sunbirds (<i>Chalcomitra amethystina</i>) over an altitudinal gradient in winter,journal-article,http://dx.doi.org/10.1242/jeb.025262,NA,en
Journal of Thermal Biology,2009-02-08,2019-05-17,2009-05,10.1016/j.jtherbio.2009.01.007,2022-03-30,0306-4565,4,2009-05,190-199,Elsevier BV,Crossref,"Developmental Biology,General Agricultural and Biological Sciences,Biochemistry,Physiology",Physiological variation in Amethyst Sunbirds (Chalcomitra amethystina) over an altitudinal gradient in summer,journal-article,http://dx.doi.org/10.1016/j.jtherbio.2009.01.007,Journal of Thermal Biology,en
Behavioral Ecology,2013-12-19,2017-08-22,2014,10.1093/beheco/art115,2023-01-11,"1465-7279,1045-2249",2,2013-12-19,328-334,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Sunbirds increase foraging success by using color as a cue for nectar quality,journal-article,http://dx.doi.org/10.1093/beheco/art115,NA,en
Comparative Biochemistry and Physiology Part A: Molecular &amp; Integrative Physiology,2013-10-02,2018-10-12,2014-01,10.1016/j.cbpa.2013.09.017,2022-08-08,1095-6433,NA,2014-01,40-44,Elsevier BV,Crossref,"Molecular Biology,Physiology,Biochemistry",Does sugar content matter? Blood plasma glucose levels in an occasional and a specialist avian nectarivore,journal-article,http://dx.doi.org/10.1016/j.cbpa.2013.09.017,Comparative Biochemistry and Physiology Part A: Molecular &amp; Integrative Physiology,en
Comparative Biochemistry and Physiology Part A: Molecular &amp; Integrative Physiology,2009-01-23,2019-05-01,2009-04,10.1016/j.cbpa.2009.01.009,2022-03-29,1095-6433,4,2009-04,593-598,Elsevier BV,Crossref,"Molecular Biology,Physiology,Biochemistry",RETRACTED: Physiological variation in Amethyst Sunbirds (Chalcomitra amethystina) over an altitudinal gradient: A seasonal comparison,journal-article,http://dx.doi.org/10.1016/j.cbpa.2009.01.009,Comparative Biochemistry and Physiology Part A: Molecular &amp; Integrative Physiology,en
Biotropica,2014-04-15,2022-04-01,2014-05,10.1111/btp.12112,2022-12-11,0006-3606,3,2014-04-14,285-293,Wiley,Crossref,"Ecology, Evolution, Behavior and Systematics",Asymmetrical Dependence Between a Neotropical Mistletoe and its Avian Seed Disperser,journal-article,http://dx.doi.org/10.1111/btp.12112,Biotropica,en
Neotropical Biology and Conservation,2009-05-18,2019-03-28,2009-05-07,10.4013/nbc.2009.41.01,2023-01-09,1809-9939,1,2009-05-07,2-12,Pensoft Publishers,Crossref,Nature and Landscape Conservation,Biologia reprodutiva de Elaenia cristata (Aves: Tyrannidae) em cerrado do Brasil central,journal-article,http://dx.doi.org/10.4013/nbc.2009.41.01,NBC,NA
